timestamp,tau_raw_ms,tau_filt_ms,err_std_mm,err_prop_mm
3.6236,118.1,123.7,0.31,0.12
3.6336,127.2,123.9,0.86,0.13
3.6436,167.1,125.6,5.83,0.26
3.6537,112.0,125.1,1.45,0.14
3.6637,170.0,126.9,5.92,0.25
3.6737,164.9,128.4,4.92,0.22
3.6837,94.4,127.0,4.24,0.23
3.6937,82.3,125.2,5.51,0.27
3.7037,86.0,123.7,4.72,0.23
3.7137,78.3,121.9,5.4,0.26
3.7237,86.6,120.4,4.05,0.21
3.7337,146.0,121.5,3.67,0.18
3.7437,85.5,120.0,4.16,0.21
3.7538,110.9,119.7,0.72,0.12
3.7638,164.2,121.4,6.02,0.25
3.7738,82.8,119.9,4.57,0.24
3.7838,162.6,121.6,5.73,0.23
3.7938,110.1,121.1,1.22,0.14
3.8038,94.5,120.1,3.1,0.2
3.8138,153.1,121.4,4.45,0.18
3.8238,147.1,122.4,3.43,0.15
3.8338,172.8,124.4,6.44,0.25
3.8438,159.4,125.8,4.37,0.18
3.8539,167.1,127.5,5.07,0.2
3.8639,115.8,127.0,1.7,0.16
3.8739,106.2,126.2,2.81,0.19
3.8839,164.4,127.7,4.69,0.18
3.8939,170.9,129.4,5.22,0.19
3.9039,190.1,131.9,7.33,0.27
3.9139,133.2,131.9,0.42,0.13
3.9239,130.1,131.8,0.73,0.14
3.9339,171.5,133.4,4.58,0.17
3.9439,128.8,133.2,1.12,0.15
3.954,188.8,135.5,6.54,0.23
3.964,182.5,137.3,5.35,0.18
3.974,140.4,137.5,0.48,0.14
3.984,173.6,138.9,3.93,0.13
3.994,174.9,140.4,3.85,0.12
4.004,110.7,139.2,4.51,0.29
4.014,191.6,141.3,5.97,0.18
4.024,152.8,141.7,0.81,0.11
4.034,185.8,143.5,4.84,0.14
4.044,136.1,143.2,1.78,0.19
4.0541,194.6,145.3,5.74,0.16
4.0641,144.9,145.2,0.98,0.16
4.0741,108.0,143.8,5.49,0.33
4.0841,198.4,145.9,6.22,0.18
4.0941,117.9,144.8,4.31,0.28
4.1041,141.6,144.7,1.1,0.16
4.1141,205.5,147.1,7.05,0.21
4.1241,206.5,149.5,6.74,0.2
4.1341,169.6,150.3,1.73,0.1
4.1441,176.3,151.3,2.45,0.09
4.1542,158.8,151.6,0.41,0.14
4.1642,144.1,151.3,1.83,0.19
4.1742,148.5,151.2,1.19,0.17
4.1842,183.7,152.5,3.36,0.1
4.1942,192.4,154.1,4.26,0.11
4.2042,197.1,155.8,4.59,0.12
4.2142,197.7,157.5,4.38,0.11
4.2242,128.5,156.3,4.63,0.3
4.2342,169.6,156.9,0.9,0.11
4.2442,126.6,155.7,4.65,0.29
4.2543,176.4,156.5,1.93,0.09
4.2643,166.3,156.9,0.59,0.11
4.2743,211.5,159.1,6.18,0.19
4.2843,158.5,159.1,0.95,0.16
4.2943,135.7,158.1,3.72,0.25
4.3043,138.8,157.3,3.11,0.23
4.3143,201.2,159.1,4.94,0.15
4.3243,187.4,160.2,2.91,0.1
4.3343,136.1,159.3,3.74,0.24
4.3443,134.9,158.3,3.67,0.24
4.3544,197.0,159.8,4.36,0.14
4.3644,134.6,158.8,3.76,0.24
4.3744,209.9,160.9,5.94,0.19
4.3844,198.7,162.4,4.17,0.13
4.3944,136.5,161.3,3.92,0.25
4.4044,137.1,160.4,3.61,0.23
4.4144,227.6,163.1,7.99,0.28
4.4244,166.6,163.2,0.29,0.12
4.4344,166.4,163.3,0.29,0.12
4.4444,210.8,165.2,5.41,0.18
4.4545,224.4,167.6,6.79,0.22
4.4645,228.4,170.0,6.89,0.22
4.4745,205.2,171.4,3.56,0.12
4.4845,167.6,171.3,1.47,0.17
4.4945,138.3,170.0,5.03,0.29
4.5045,207.7,171.5,4.02,0.14
4.5145,185.8,172.1,1.06,0.1
4.5245,172.3,172.1,0.82,0.14
4.5345,220.5,174.0,5.35,0.18
4.5445,140.8,172.7,5.02,0.28
4.5546,178.8,172.9,0.28,0.12
4.5646,130.5,171.2,6.02,0.32
4.5746,176.0,171.4,0.18,0.11
4.5846,134.6,169.9,5.16,0.27
4.5946,140.6,168.8,4.1,0.23
4.6046,140.1,167.6,3.91,0.22
4.6146,193.0,168.6,2.97,0.13
4.6246,202.3,170.0,3.96,0.15
4.6346,185.7,170.6,1.63,0.1
4.6446,223.2,172.7,6.24,0.22
4.6547,164.0,172.4,1.59,0.16
4.6647,154.6,171.7,2.67,0.19
4.6747,212.5,173.3,4.76,0.17
4.6847,147.5,172.3,3.71,0.23
4.6947,220.9,174.2,5.75,0.2
4.7047,125.2,172.2,6.63,0.34
4.7147,220.4,174.2,5.73,0.2
4.7247,127.1,172.3,6.34,0.32
4.7347,211.3,173.9,4.62,0.17
4.7447,174.3,173.9,0.33,0.12
4.7548,220.2,175.7,5.47,0.2
4.7648,127.6,173.8,6.51,0.32
4.7748,174.9,173.8,0.19,0.11
4.7848,215.7,175.5,4.96,0.2
4.7948,170.3,175.3,1.05,0.13
4.8048,180.2,175.5,0.29,0.11
4.8148,186.1,175.9,0.98,0.1
4.8248,161.1,175.3,2.22,0.17
4.8348,177.6,175.4,0.11,0.11
4.8448,172.5,175.3,0.67,0.12
4.8549,203.3,176.4,3.25,0.14
4.8649,116.9,174.0,7.81,0.37
4.8749,139.6,172.7,4.5,0.24
4.8849,205.7,174.0,4.07,0.17
4.8949,198.8,175.0,2.96,0.13
4.9049,154.4,174.2,2.8,0.18
4.9149,169.9,174.0,0.68,0.12
4.9249,134.7,172.4,5.06,0.26
4.9349,124.9,170.5,5.99,0.29
4.9449,151.5,169.8,2.29,0.15
4.955,139.6,168.6,3.66,0.2
4.965,161.7,168.3,0.68,0.11
4.975,110.1,165.9,7.09,0.32
4.985,198.9,167.3,4.48,0.2
4.995,199.1,168.5,4.24,0.19
5.005,169.3,168.6,0.26,0.11
5.015,152.2,167.9,1.93,0.14
5.025,128.6,166.3,4.77,0.24
5.035,178.1,166.8,1.73,0.13
5.045,164.2,166.7,0.15,0.11
5.0551,111.1,164.5,6.78,0.3
5.0651,185.0,165.3,2.91,0.16
5.0751,175.2,165.7,1.51,0.13
5.0851,187.1,166.6,2.9,0.16
5.0951,163.7,166.4,0.21,0.12
5.1051,151.6,165.9,1.72,0.14
5.1151,131.2,164.5,4.18,0.21
5.1251,181.8,165.2,2.42,0.15
5.1351,174.2,165.5,1.33,0.13
5.1451,91.3,162.6,9.17,0.38
5.1552,88.6,159.6,8.96,0.37
5.1652,122.8,158.1,4.14,0.19
5.1752,165.4,158.4,1.49,0.14
5.1852,182.2,159.4,3.5,0.2
5.1952,97.8,156.9,7.32,0.3
5.2052,141.4,156.3,1.43,0.12
5.2152,119.3,154.8,4.09,0.18
5.2252,177.5,155.7,3.47,0.2
5.2352,164.0,156.0,1.58,0.14
5.2452,162.9,156.3,1.35,0.14
5.2553,125.3,155.1,3.47,0.18
5.2653,119.3,153.6,4.02,0.19
5.2753,104.5,151.7,5.63,0.24
5.2853,82.2,148.9,8.09,0.33
5.2953,162.5,149.4,2.5,0.18
5.3053,156.7,149.7,1.63,0.16
5.3153,174.9,150.7,3.8,0.22
5.3253,174.1,151.7,3.46,0.21
5.3353,129.5,150.8,2.35,0.14
5.3453,150.4,150.8,0.44,0.13
5.3554,167.5,151.4,2.55,0.17
5.3654,157.6,151.7,1.15,0.14
5.3754,97.0,149.5,6.53,0.28
5.3854,117.0,148.2,3.64,0.18
5.3954,84.5,145.7,7.49,0.31
5.4054,166.7,146.5,3.29,0.2
5.4154,131.7,145.9,1.33,0.13
5.4254,93.7,143.8,6.01,0.25
5.4354,137.8,143.6,0.27,0.13
5.4454,132.3,143.1,0.83,0.12
5.4555,106.1,141.6,4.03,0.18
5.4655,81.5,139.2,6.87,0.28
5.4755,137.2,139.2,0.63,0.13
5.4855,122.1,138.5,1.43,0.13
5.4955,147.2,138.8,1.87,0.16
5.5055,122.0,138.1,1.45,0.13
5.5155,155.3,138.8,2.84,0.18
5.5255,125.3,138.3,1.11,0.13
5.5355,126.3,137.8,0.92,0.13
5.5455,158.0,138.6,3.13,0.19
5.5556,110.8,137.5,2.99,0.16
5.5656,84.0,135.4,6.17,0.26
5.5756,73.7,132.9,7.09,0.29
5.5856,146.6,133.4,2.5,0.18
5.5956,133.4,133.4,0.71,0.13
5.6056,142.0,133.8,1.74,0.16
5.6156,93.3,132.2,4.51,0.2
5.6256,85.9,130.3,5.15,0.22
5.6356,74.1,128.1,6.32,0.26
5.6456,108.1,127.3,1.7,0.13
5.6557,132.5,127.5,1.52,0.15
5.6657,113.2,126.9,1.06,0.12
5.6757,118.2,126.6,0.42,0.12
5.6857,165.4,128.1,5.62,0.27
5.6957,110.3,127.4,1.65,0.13
5.7057,127.4,127.4,0.63,0.13
5.7157,155.0,128.5,4.04,0.22
5.7257,116.9,128.0,1.0,0.13
5.7357,140.1,128.5,1.98,0.15
5.7457,164.7,130.0,4.96,0.24
5.7558,174.1,131.7,5.84,0.26
5.7658,94.6,130.3,4.52,0.22
5.7758,173.2,132.0,5.64,0.26
5.7858,130.5,131.9,0.12,0.12
5.7958,107.9,131.0,2.92,0.17
5.8058,128.7,130.9,0.14,0.12
5.8158,181.6,132.9,6.53,0.28
5.8258,133.7,132.9,0.17,0.12
5.8358,118.1,132.3,1.87,0.15
5.8458,149.4,133.0,2.18,0.13
5.8559,110.9,132.1,2.79,0.18
5.8659,95.3,130.7,4.59,0.24
5.8759,101.5,129.5,3.54,0.2
5.8859,102.3,128.4,3.23,0.19
5.8959,105.6,127.5,2.62,0.17
5.9059,105.1,126.6,2.52,0.16
5.9159,156.3,127.8,4.06,0.18
5.9259,111.3,127.1,1.84,0.15
5.9359,128.6,127.2,0.44,0.11
5.9459,184.6,129.5,7.45,0.29
5.956,143.3,130.0,1.81,0.12
5.966,163.6,131.4,4.25,0.17
5.976,115.0,130.7,2.12,0.17
5.986,117.9,130.2,1.63,0.15
5.996,103.7,129.1,3.32,0.2
6.006,117.5,128.7,1.39,0.14
6.016,129.4,128.7,0.19,0.11
